ProblemID,Config,MeanDeltaPct
Ta100_10_1,Elite_025,0.019727716171903133
Ta100_10_1,Elite_10,0.049862765810092406
Ta100_10_1,PRules_2n,0.09286679217023933
Ta100_10_1,PRules_4n,0.09829074423666677
Ta100_10_1,Poor_05,0.025863828633364477
Ta100_10_1,Poor_20,0.0732494106328677
Ta100_10_1,Regions_2,-0.02297024767790308
Ta100_10_1,Regions_8,-0.051640504048506286
Ta100_10_1,q_2,-0.04776814376832307
Ta100_10_1,q_6,0.03840059146644022
Ta100_10_10,Elite_025,-0.02792777928899958
Ta100_10_10,Elite_10,0.07524564512872531
Ta100_10_10,PRules_2n,-0.020033692223347645
Ta100_10_10,PRules_4n,0.07511808128361373
Ta100_10_10,Poor_05,0.0013356627793009198
Ta100_10_10,Poor_20,-0.0020182791486783903
Ta100_10_10,Regions_2,-0.1976962788912036
Ta100_10_10,Regions_8,-0.017470255717507578
Ta100_10_10,q_2,0.017608183615854568
Ta100_10_10,q_6,0.0067795856587005545
Ta100_20_1,Elite_025,0.029024033109065685
Ta100_20_1,Elite_10,-0.05157558011827508
Ta100_20_1,PRules_2n,-0.05585804681925858
Ta100_20_1,PRules_4n,-0.060723051516391104
Ta100_20_1,Poor_05,-0.031221947997623806
Ta100_20_1,Poor_20,-0.013111280858823359
Ta100_20_1,Regions_2,-0.10442376832455753
Ta100_20_1,Regions_8,-0.032439245368872195
Ta100_20_1,q_2,-0.043208917076814915
Ta100_20_1,q_6,0.043331382600584424
Ta100_20_10,Elite_025,-0.029352432567246768
Ta100_20_10,Elite_10,-0.056954766694604454
Ta100_20_10,PRules_2n,-0.06125200118534424
Ta100_20_10,PRules_4n,-0.0891105778811136
Ta100_20_10,Poor_05,0.002016810043403111
Ta100_20_10,Poor_20,0.033722109151715876
Ta100_20_10,Regions_2,-0.05143068270998232
Ta100_20_10,Regions_8,-0.09516166095184986
Ta100_20_10,q_2,0.0031801781262197877
Ta100_20_10,q_6,0.19844447193595285
Ta100_5_1,Elite_025,0.01785522564519714
Ta100_5_1,Elite_10,-0.033153759462010435
Ta100_5_1,PRules_2n,-0.04141389211602993
Ta100_5_1,PRules_4n,0.09164692164286722
Ta100_5_1,Poor_05,0.03250098462940627
Ta100_5_1,Poor_20,-0.024027418826191988
Ta100_5_1,Regions_2,0.037404431679815345
Ta100_5_1,Regions_8,0.00020520600560161307
Ta100_5_1,q_2,-0.011988186565337313
Ta100_5_1,q_6,0.02824490397371714
Ta100_5_10,Elite_025,0.007795745514525418
Ta100_5_10,Elite_10,0.00930248986536798
Ta100_5_10,PRules_2n,-0.02473822616880638
Ta100_5_10,PRules_4n,0.004464306053254491
Ta100_5_10,Poor_05,0.013051582354747899
Ta100_5_10,Poor_20,0.014906432242031715
Ta100_5_10,Regions_2,0.011558612241030854
Ta100_5_10,Regions_8,-0.0019318355838986484
Ta100_5_10,q_2,-0.013142265091911848
Ta100_5_10,q_6,0.0040979608787022
Ta200_10_1,Elite_025,0.03828158405936467
Ta200_10_1,Elite_10,0.03980168675810312
Ta200_10_1,PRules_2n,-0.02193473175151205
Ta200_10_1,PRules_4n,0.10269263598852145
Ta200_10_1,Poor_05,0.03483051903819944
Ta200_10_1,Poor_20,0.013797191882448939
Ta200_10_1,Regions_2,0.07235540434597194
Ta200_10_1,Regions_8,0.014218538442120204
Ta200_10_1,q_2,-0.026015355744840273
Ta200_10_1,q_6,0.01315710735237711
Ta200_10_10,Elite_025,-0.0447500936397361
Ta200_10_10,Elite_10,-0.003896660487310534
Ta200_10_10,PRules_2n,0.03715439584824669
Ta200_10_10,PRules_4n,0.005345698667847622
Ta200_10_10,Poor_05,-0.046479971791936144
Ta200_10_10,Poor_20,0.018262434362277088
Ta200_10_10,Regions_2,-0.3580731790336893
Ta200_10_10,Regions_8,-0.10699572493889986
Ta200_10_10,q_2,-0.03653056050299932
Ta200_10_10,q_6,0.01576378294121797
Ta200_20_1,Elite_025,-0.08635788584344181
Ta200_20_1,Elite_10,0.003200368071680862
Ta200_20_1,PRules_2n,-0.061859969952110114
Ta200_20_1,PRules_4n,-0.02866826973836986
Ta200_20_1,Poor_05,0.01442155130544554
Ta200_20_1,Poor_20,0.005403470694942944
Ta200_20_1,Regions_2,-0.14187869156031632
Ta200_20_1,Regions_8,0.04510455014334549
Ta200_20_1,q_2,-0.06654444269998722
Ta200_20_1,q_6,-0.011236229569489928
Ta200_20_10,Elite_025,-0.1511168883936708
Ta200_20_10,Elite_10,-0.08080492529273244
Ta200_20_10,PRules_2n,-0.18698824470188252
Ta200_20_10,PRules_4n,-0.03021086708560598
Ta200_20_10,Poor_05,-0.03442443308975661
Ta200_20_10,Poor_20,-0.08904270429892822
Ta200_20_10,Regions_2,-0.38307200955461307
Ta200_20_10,Regions_8,-0.055271105328754566
Ta200_20_10,q_2,-0.11862320239284499
Ta200_20_10,q_6,0.006019006297752744
Ta20_10_1,Elite_025,0.039992812142680606
Ta20_10_1,Elite_10,0.08968083972610438
Ta20_10_1,PRules_2n,0.04342227696538344
Ta20_10_1,PRules_4n,-0.052874318601145796
Ta20_10_1,Poor_05,-0.11197016610215593
Ta20_10_1,Poor_20,-0.07616238193212885
Ta20_10_1,Regions_2,0.07098696668058559
Ta20_10_1,Regions_8,-0.18804426145040432
Ta20_10_1,q_2,-0.6190618970501552
Ta20_10_1,q_6,0.14790346783999672
Ta20_10_10,Elite_025,0.007800182657689883
Ta20_10_10,Elite_10,0.0655714043225059
Ta20_10_10,PRules_2n,-0.16728534048369736
Ta20_10_10,PRules_4n,0.04642276004393667
Ta20_10_10,Poor_05,0.0
Ta20_10_10,Poor_20,0.0
Ta20_10_10,Regions_2,0.2851442320024201
Ta20_10_10,Regions_8,0.1884041947380169
Ta20_10_10,q_2,0.09857044993199623
Ta20_10_10,q_6,-0.1705223311795318
Ta20_20_1,Elite_025,-0.246993256428987
Ta20_20_1,Elite_10,0.009394964012529362
Ta20_20_1,PRules_2n,0.2471711998219186
Ta20_20_1,PRules_4n,-0.36650073484662743
Ta20_20_1,Poor_05,-0.033158002365933414
Ta20_20_1,Poor_20,-0.033812613738733115
Ta20_20_1,Regions_2,-0.3068514185876441
Ta20_20_1,Regions_8,-0.1030945806391548
Ta20_20_1,q_2,-0.48618910492893563
Ta20_20_1,q_6,0.021969047735472796
Ta20_20_10,Elite_025,0.0
Ta20_20_10,Elite_10,-0.015111111111111516
Ta20_20_10,PRules_2n,-0.21076811103520895
Ta20_20_10,PRules_4n,0.05018897222453027
Ta20_20_10,Poor_05,-0.02133333333333414
Ta20_20_10,Poor_20,0.006222222222222627
Ta20_20_10,Regions_2,0.06770296788646954
Ta20_20_10,Regions_8,0.014620151379918006
Ta20_20_10,q_2,0.2025851042452894
Ta20_20_10,q_6,0.027486087255565183
Ta20_5_1,Elite_025,-0.04366149570580048
Ta20_5_1,Elite_10,0.022842991097627018
Ta20_5_1,PRules_2n,0.12743757756246551
Ta20_5_1,PRules_4n,0.24527188166323102
Ta20_5_1,Poor_05,-0.020205160087038675
Ta20_5_1,Poor_20,0.08944513477905922
Ta20_5_1,Regions_2,0.15379601697210651
Ta20_5_1,Regions_8,-0.05299677406049078
Ta20_5_1,q_2,0.04935572781329764
Ta20_5_1,q_6,-0.015370585348562667
Ta20_5_10,Elite_025,-0.1636656116402248
Ta20_5_10,Elite_10,-0.04666926825820751
Ta20_5_10,PRules_2n,0.20584406045618583
Ta20_5_10,PRules_4n,0.18086750555510475
Ta20_5_10,Poor_05,-0.027375107361112712
Ta20_5_10,Poor_20,-0.10358400113067626
Ta20_5_10,Regions_2,0.023274727345963534
Ta20_5_10,Regions_8,0.12646151504523223
