ProblemID,Group,n,m,Replication,Seed,PoolSize,PoolBest,PoolMean,PoolSD,PoolWorst,EliteN,PoorN,TieMode,ElapsedSec,HistoricalPRAuditPass,HistoricalPRMatched,HistoricalPRChecked
Ta20_5_1,20×5,20,5,1,210501210,200000,1303,1515.62061,60.14196786362575,1784,10000,20000,numpy_quicksort,0.6833201499998722,True,10,10
Ta20_5_1,20×5,20,5,2,210502219,200000,1298,1515.598,60.0287033278757,1791,10000,20000,numpy_quicksort,0.2645784770002137,True,10,10
Ta20_5_1,20×5,20,5,3,210503228,200000,1309,1515.26612,59.82833381678982,1798,10000,20000,numpy_quicksort,0.271935798999948,True,10,10
Ta20_5_1,20×5,20,5,4,210504237,200000,1299,1515.601175,60.1550310178472,1793,10000,20000,numpy_quicksort,0.167861079999966,True,10,10
Ta20_5_1,20×5,20,5,5,210505246,200000,1312,1515.907205,60.09849235406735,1796,10000,20000,numpy_quicksort,0.1959571180000239,True,10,10
Ta20_5_2,20×5,20,5,1,210601210,200000,1370,1547.20907,60.33260262784791,1867,10000,20000,numpy_quicksort,0.2317742539999017,True,10,10
Ta20_5_2,20×5,20,5,2,210602219,200000,1368,1547.80345,60.3015023813955,1839,10000,20000,numpy_quicksort,0.1569341060003353,True,10,10
Ta20_5_2,20×5,20,5,3,210603228,200000,1373,1547.606735,60.0876317577688,1849,10000,20000,numpy_quicksort,0.1611683289997927,True,10,10
Ta20_5_2,20×5,20,5,4,210604237,200000,1373,1547.62181,60.31643857761923,1849,10000,20000,numpy_quicksort,0.2143810300003679,True,10,10
Ta20_5_2,20×5,20,5,5,210605246,200000,1368,1547.3022,60.038287268539655,1827,10000,20000,numpy_quicksort,0.1728589570002441,True,10,10
Ta20_5_3,20×5,20,5,1,210701210,200000,1168,1451.08133,83.31164798264734,1895,10000,20000,numpy_quicksort,0.198889902999781,True,10,10
Ta20_5_3,20×5,20,5,2,210702219,200000,1167,1451.41015,83.50884435563054,1893,10000,20000,numpy_quicksort,0.2198046319999775,True,10,10
Ta20_5_3,20×5,20,5,3,210703228,200000,1170,1451.263345,83.67272428954925,1846,10000,20000,numpy_quicksort,0.225630732999889,True,10,10
Ta20_5_3,20×5,20,5,4,210704237,200000,1137,1451.26939,83.59065256363226,1873,10000,20000,numpy_quicksort,0.1338131210000028,True,10,10
Ta20_5_3,20×5,20,5,5,210705246,200000,1160,1450.942915,83.46637328577373,1887,10000,20000,numpy_quicksort,0.200991201999841,True,10,10
Ta20_5_4,20×5,20,5,1,210801210,200000,1392,1633.789835,70.34997975316718,1967,10000,20000,numpy_quicksort,0.1988424819996908,True,10,10
Ta20_5_4,20×5,20,5,2,210802219,200000,1388,1633.920035,70.58479299157705,1985,10000,20000,numpy_quicksort,0.1656307570001445,True,10,10
Ta20_5_4,20×5,20,5,3,210803228,200000,1411,1633.331465,70.5551674656935,1985,10000,20000,numpy_quicksort,0.2148968609999428,True,10,10
Ta20_5_4,20×5,20,5,4,210804237,200000,1387,1633.81672,70.55582335330405,1974,10000,20000,numpy_quicksort,0.1790991549996761,True,10,10
Ta20_5_4,20×5,20,5,5,210805246,200000,1386,1633.492345,70.53795906757809,1992,10000,20000,numpy_quicksort,0.137173377000181,True,10,10
Ta20_5_5,20×5,20,5,1,210901210,200000,1285,1505.469225,66.09455261478666,1809,10000,20000,numpy_quicksort,0.2618329150000136,True,10,10
Ta20_5_5,20×5,20,5,2,210902219,200000,1291,1505.567135,66.08199071637642,1824,10000,20000,numpy_quicksort,0.2204449500000009,True,10,10
Ta20_5_5,20×5,20,5,3,210903228,200000,1305,1505.3125,66.06426784720641,1821,10000,20000,numpy_quicksort,0.218939809999938,True,10,10
Ta20_5_5,20×5,20,5,4,210904237,200000,1292,1505.343085,66.00970863510113,1824,10000,20000,numpy_quicksort,0.2101010080000378,True,10,10
Ta20_5_5,20×5,20,5,5,210905246,200000,1279,1505.56455,66.10051346008515,1831,10000,20000,numpy_quicksort,0.1983063610000499,True,10,10
Ta20_5_6,20×5,20,5,1,211001210,200000,1261,1529.297215,74.1982934114896,1840,10000,20000,numpy_quicksort,0.3852107500001693,True,10,10
Ta20_5_6,20×5,20,5,2,211002219,200000,1270,1529.35956,74.06689359038916,1854,10000,20000,numpy_quicksort,0.2100036050001108,True,10,10
Ta20_5_6,20×5,20,5,3,211003228,200000,1256,1529.129285,74.09397276413767,1857,10000,20000,numpy_quicksort,0.1602259530000083,True,10,10
